,duration,protocol_type,service,flag,src_bytes,dst_bytes,land,wrong_fragment,urgent,hot,num_failed_logins,logged_in,num_compromised,root_shell,su_attempted,num_root,num_file_creations,num_shells,num_access_files,num_outbound_cmds,is_host_login,is_guest_login,count,srv_count,serror_rate,diff_srv_rate,srv_diff_host_rate,dst_host_srv_count,dst_host_diff_srv_rate,dst_host_same_src_port_rate,dst_host_srv_diff_host_rate,dst_host_srv_rerror_rate,attack,level
42,0,udp,other,SF,146,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0.0,0.5,0.0,2,0.66,0.99,0.0,0.0,normal,21
44,0,tcp,csnet_ns,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,11,1.0,0.08,0.0,11,0.07,0.0,0.0,0.0,neptune,18
45,0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,0.0,0.0,0.0,80,0.02,0.31,0.0,0.0,teardrop,16
46,0,tcp,http,SF,255,861,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,44,44,0.02,0.0,0.0,255,0.0,0.0,0.0,0.0,normal,21
47,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,38,0.0,1.0,0.18,0.0,warezclient,12
48,0,tcp,ftp_data,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,17,1.0,0.05,0.0,5,0.07,0.0,0.0,0.0,neptune,18
49,0,tcp,http,SF,302,498,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10,10,0.0,0.0,0.0,255,0.0,0.01,0.04,0.0,normal,21
50,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,4,0.0,0.1,0.0,4,0.08,0.0,0.0,1.0,neptune,21
51,0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,2,0.02,0.01,0.0,0.0,teardrop,15
53,0,udp,domain_u,SF,43,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120,120,0.0,0.0,0.0,245,0.01,0.01,0.0,0.0,normal,18
54,0,udp,domain_u,SF,44,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,75,0.0,0.0,0.03,212,0.02,0.88,0.01,0.0,normal,21
55,0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15,0.0,0.0,1.0,46,0.0,1.0,0.26,0.0,nmap,17
56,0,tcp,uucp,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,9,1.0,0.06,0.0,11,0.07,0.0,0.0,0.0,neptune,20
57,0,tcp,finger,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12,1.0,0.08,0.0,59,0.04,0.0,0.0,0.0,neptune,18
58,0,udp,domain_u,SF,43,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,148,228,0.0,0.0,0.01,255,0.0,0.01,0.0,0.0,normal,18
59,0,tcp,ftp_data,SF,641,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,48,0.02,0.25,0.04,0.0,normal,21
60,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,4,0.0,0.06,0.0,4,0.08,0.0,0.0,1.0,neptune,21
61,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175,1,0.1,1.0,0.0,1,0.84,0.0,0.0,1.0,satan,18
63,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,10,0.0,0.08,0.0,10,0.07,0.0,0.0,1.0,neptune,21
64,0,tcp,smtp,SF,696,333,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,133,0.04,0.01,0.02,0.0,normal,21
65,0,tcp,netbios_dgm,RSTR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1,0.58,0.58,0.0,1.0,portsweep,14
66,0,tcp,http,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,19,1.0,0.08,0.0,67,0.02,0.0,0.0,0.0,neptune,19
67,0,tcp,netbios_dgm,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,7,0.0,0.06,0.0,6,0.07,0.0,0.0,1.0,neptune,20
68,0,tcp,supdup,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,168,21,1.0,0.06,0.0,21,0.06,0.0,0.0,0.0,neptune,19
70,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,16,1.0,0.06,0.0,31,0.05,0.0,0.0,0.0,neptune,18
71,0,icmp,urp_i,SF,181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.0,0.67,0.0,93,0.01,0.46,0.0,0.0,normal,21
72,0,udp,domain_u,SF,42,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0.0,0.0,0.21,83,0.02,0.01,0.0,0.0,normal,21
73,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,138,6,1.0,0.06,0.0,6,0.07,0.0,0.0,0.0,neptune,21
74,0,tcp,ftp_data,SF,12,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,47,0.07,0.55,0.04,0.0,normal,20
75,0,tcp,auth,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,9,1.0,0.06,0.0,9,0.06,0.0,0.0,0.0,neptune,19
78,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,8,0.0,0.06,0.0,8,0.07,0.0,0.0,1.0,neptune,21
80,0,tcp,uucp_path,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,7,0.0,0.07,0.0,7,0.07,0.0,0.0,1.0,neptune,19
81,0,tcp,domain,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,19,1.0,0.05,0.0,2,0.07,0.0,0.0,0.0,neptune,18
82,0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,44,0.0,0.0,1.0,95,0.0,1.0,0.51,0.0,ipsweep,15
83,0,tcp,http,SF,320,379,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,9,0.0,0.0,0.0,255,0.0,0.01,0.02,0.0,normal,21
84,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212,7,1.0,0.05,0.0,7,0.11,0.01,0.0,0.0,neptune,18
86,0,tcp,ftp,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,13,1.0,0.06,0.0,1,0.07,0.0,0.0,0.0,neptune,19
87,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,15,0.0,0.05,0.0,15,0.06,0.0,0.0,1.0,neptune,21
88,0,udp,other,SF,146,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.0,0.67,0.0,2,0.54,0.78,0.0,0.0,normal,21
91,0,udp,domain_u,SF,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,189,0.0,0.02,0.01,254,0.01,0.01,0.0,0.0,normal,18
92,0,tcp,private,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146,18,0.0,0.05,0.0,10,0.08,0.0,0.0,1.0,neptune,21
93,0,tcp,csnet_ns,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,6,1.0,0.06,0.0,3,0.07,0.0,0.0,0.0,neptune,18
95,0,udp,other,SF,102,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,1,0.29,0.14,0.0,0.0,normal,21
96,0,tcp,http,SF,259,750,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0.0,0.0,0.4,255,0.0,0.25,0.03,0.0,normal,21
97,0,udp,other,SF,147,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,2,0.42,0.86,0.0,0.0,normal,21
98,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129,16,1.0,0.05,0.0,12,0.05,0.0,0.0,0.0,neptune,21
99,0,tcp,http,SF,0,354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,0.03,0.0,0.0,255,0.0,0.0,0.0,0.0,normal,20
100,0,tcp,http,SF,309,306,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,255,0.0,0.02,0.02,0.0,normal,21
101,0,tcp,http,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0.0,0.0,1.0,247,0.0,1.0,0.15,0.68,normal,21
103,0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,82,0.0,0.0,0.0,182,0.29,0.71,0.0,0.0,teardrop,16
104,0,tcp,http,SF,313,761,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,255,0.0,0.02,0.03,0.0,normal,21
105,0,tcp,http,SF,219,1212,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15,15,0.0,0.0,0.0,255,0.0,0.0,0.01,0.0,normal,21
108,0,tcp,http,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,249,0.0,0.04,0.1,0.96,normal,21
109,0,tcp,http,SF,251,301,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,7,0.0,0.0,0.29,252,0.01,0.0,0.0,0.0,normal,21
111,0,tcp,http,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,255,0.0,0.17,0.21,0.88,normal,21
112,0,tcp,http,SF,237,511,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,255,0.0,0.33,0.01,0.0,normal,21
113,0,tcp,http,SF,324,431,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,5,0.0,0.0,0.4,255,0.0,0.01,0.02,0.0,normal,21
114,0,tcp,private,RSTR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,2,0.69,1.0,0.0,1.0,portsweep,15
115,0,tcp,Z39_50,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,17,0.0,0.05,0.0,17,0.07,0.0,0.0,1.0,neptune,18
116,0,udp,private,SF,105,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0.0,0.5,0.0,239,0.01,0.0,0.0,0.0,normal,18
117,0,tcp,http,SF,218,974,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6,6,0.0,0.0,0.0,255,0.0,0.17,0.02,0.0,normal,21
119,0,tcp,uucp_path,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,20,0.0,0.07,0.0,20,0.07,0.0,0.0,1.0,neptune,19
120,0,tcp,bgp,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,19,0.0,0.07,0.0,19,0.08,0.0,0.0,1.0,neptune,19
121,0,tcp,csnet_ns,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,259,8,1.0,0.07,0.0,8,0.08,0.0,0.0,0.0,neptune,20
122,0,tcp,http,SF,328,275,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,10,0.0,0.0,0.2,250,0.01,0.0,0.0,0.0,normal,21
123,0,tcp,bgp,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,6,1.0,0.05,0.0,8,0.07,0.0,0.0,0.0,neptune,18
124,0,tcp,finger,SF,9,138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,10,0.03,0.01,0.2,0.0,normal,21
125,0,udp,domain_u,SF,46,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,178,0.0,0.0,0.02,254,0.01,0.01,0.0,0.0,normal,18
127,0,udp,domain_u,SF,45,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,159,0.0,0.0,0.01,254,0.01,0.0,0.0,0.0,normal,19
128,26,tcp,ftp,SF,273,903,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.0,0.0,0.0,49,0.02,0.01,0.0,0.0,normal,21
129,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,190,20,1.0,0.06,0.0,20,0.08,0.0,0.0,0.0,neptune,21
130,0,tcp,ldap,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,5,0.0,0.06,0.0,1,0.07,0.0,0.0,1.0,neptune,19
131,0,tcp,http,SF,237,138,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,2,0.0,0.5,0.0,0.0,normal,20
133,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,7,1.0,0.06,0.0,7,0.08,0.0,0.0,0.0,neptune,21
134,0,tcp,supdup,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,20,1.0,0.06,0.0,7,0.07,0.0,0.0,0.0,neptune,18
135,0,udp,other,SF,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0.0,0.67,0.0,1,0.61,0.97,0.0,0.0,normal,21
136,0,tcp,http,SF,262,1011,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4,0.0,0.0,0.5,255,0.0,0.02,0.01,0.0,normal,21
138,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109,13,1.0,0.06,0.0,7,0.06,0.0,0.0,0.0,neptune,21
140,0,tcp,bgp,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,145,8,0.0,0.08,0.0,8,0.09,0.0,0.0,1.0,neptune,18
141,0,tcp,netbios_dgm,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,2,0.0,0.07,0.0,2,0.07,0.0,0.0,1.0,neptune,20
143,0,tcp,http,SF,221,981,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0.0,0.0,0.67,82,0.0,0.02,0.04,0.0,normal,21
145,0,tcp,gopher,SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,0.0,0.0,1,1.0,1.0,0.0,0.0,nmap,18
147,0,tcp,ftp_data,SF,334,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,26,0.0,1.0,0.19,0.0,warezclient,11
148,0,tcp,telnet,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,4,1.0,0.31,0.0,64,0.02,0.01,0.0,0.0,neptune,19
149,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,1.0,0.07,0.0,1,0.06,0.0,0.0,0.0,neptune,21
150,0,tcp,http,SF,214,283,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,255,0.0,0.04,0.05,0.0,normal,21
151,0,tcp,vmnet,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,292,13,1.0,0.05,0.0,14,0.08,0.0,0.0,0.0,neptune,20
152,0,tcp,systat,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,18,1.0,0.05,0.0,1,0.08,0.0,0.0,0.0,neptune,18
153,0,tcp,http_443,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,143,15,1.0,0.06,0.0,15,0.05,0.0,0.0,0.0,neptune,20
154,0,udp,domain_u,SF,46,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,277,0.0,0.01,0.0,254,0.01,0.0,0.0,0.0,normal,18
156,0,tcp,efs,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,19,1.0,0.06,0.0,18,0.06,0.0,0.0,0.0,neptune,19
157,0,icmp,eco_i,SF,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46,0.0,0.0,1.0,15,0.0,1.0,0.53,0.0,ipsweep,17
158,0,tcp,whois,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,3,1.0,0.07,0.0,3,0.08,0.0,0.0,0.0,neptune,19
160,0,tcp,ftp_data,SF,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,119,0.38,0.5,0.02,0.01,normal,20
161,0,udp,domain_u,SF,46,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,302,0.0,0.0,0.01,253,0.01,0.0,0.0,0.0,normal,18
163,0,tcp,remote_job,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,4,1.0,0.06,0.0,4,0.07,0.0,0.0,0.0,neptune,21
164,0,tcp,other,RSTR,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0.0,0.0,0.0,2,0.74,1.0,0.0,1.0,portsweep,15
165,7,tcp,finger,SF,8,135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,6,0.03,0.01,0.33,0.0,normal,21
166,0,tcp,http,SF,266,529,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,6,0.0,0.0,0.67,255,0.0,0.01,0.02,0.0,normal,21
167,0,tcp,ftp_data,SF,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0.0,0.67,0.0,68,0.06,0.32,0.03,0.0,normal,21
168,0,tcp,http,SF,295,465,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11,12,0.0,0.0,0.17,255,0.0,0.01,0.04,0.0,normal,21
169,0,tcp,gopher,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,12,1.0,0.11,0.0,12,0.08,0.0,0.0,0.0,neptune,18
172,0,tcp,imap4,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,15,0.0,0.06,0.0,15,0.07,0.0,0.0,1.0,neptune,19
173,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,19,0.99,0.07,0.0,19,0.05,0.0,0.0,0.0,neptune,21
174,0,tcp,whois,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,3,1.0,0.05,0.0,3,0.05,0.0,0.0,0.0,neptune,18
175,0,tcp,http,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0.0,0.0,1.0,195,0.0,0.01,0.02,0.84,normal,21
176,0,tcp,other,REJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486,1,0.08,0.95,0.0,1,0.91,0.0,0.0,1.0,satan,18
177,0,udp,other,SF,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,6,0.0,0.09,0.0,6,0.06,1.0,0.0,0.0,satan,20
178,0,tcp,iso_tsap,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,9,1.0,0.06,0.0,11,0.07,0.0,0.0,0.0,neptune,19
179,0,icmp,ecr_i,SF,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,247,0.0,1.0,0.0,0.0,normal,16
181,0,tcp,ftp_data,SF,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,5,0.04,0.02,0.0,0.0,normal,18
182,0,tcp,smtp,SF,661,329,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,69,0.02,0.01,0.03,0.0,normal,21
183,0,udp,private,SF,28,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,34,0.0,0.06,0.0,34,0.02,0.13,0.0,0.0,teardrop,15
184,0,tcp,ftp_data,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,2,1.0,0.14,0.0,42,0.03,0.0,0.0,0.0,neptune,18
185,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,18,1.0,0.07,0.0,18,0.07,0.0,0.0,0.0,neptune,21
186,0,tcp,private,S0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,5,1.0,0.06,0.0,15,0.07,0.0,0.0,0.0,neptune,21
188,0,tcp,http,SF,223,656,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,21,0.0,0.0,0.14,255,0.0,0.01,0.02,0.0,normal,21
189,0,tcp,ftp,SF,350,1185,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,1,1,2,0.0,0.0,1.0,142,0.02,0.0,0.0,0.0,warezclient,2
